,PROC_NUM,PARCEL_NO,ADDRESS,DATE,CONST_COST,ADMIN_COST,CAT_CODE,UNITS_VAL,PED_ORIENTED,LAND USE,UNITS
3410,C2019188214-0,3031210280250,3051 NW 45 ST,7/3/2019,8772.45,175.45,210-00,1,0,Single Family Detached,unit
3430,C2020030811-0,3031210280300,3019 NW 45 ST,12/3/2019,0,0,210-00,1,0,Single Family Detached,unit
3431,C2020030811-0,3031210280300,3019 NW 45 ST,12/3/2019,0,0,210-00,-1,0,Single Family Detached,unit
3432,C2020038328-0,3031210280370,3020 NW 45 ST,12/17/2019,0,0,210-00,1,0,Single Family Detached,unit
3433,C2020038328-0,3031210280370,3020 NW 45 ST,12/17/2019,0,0,210-00,-1,0,Single Family Detached,unit
3408,C2019210791-0,3031210280400,1138 NW 45 ST,8/16/2019,8772.45,175.45,210-00,1,0,Single Family Detached,unit
3424,C2019062550-0,3031210280480,3076 NW 45 ST,1/17/2019,8772.45,175.45,210-00,1,0,Single Family Detached,unit
3416,C2019188242-0,3031210280640,3039 NW 44 ST,7/8/2019,8772.45,175.45,210-00,1,0,Single Family Detached,unit
3443,C2020033559-0,3031210280880,3085 NW 43 TER,12/9/2019,0,0,210-00,1,0,Single Family Detached,unit
3444,C2020033559-0,3031210280880,3085 NW 43 TER,12/9/2019,0,0,210-00,-1,0,Single Family Detached,unit
3417,C2020018910-0,3031210280890,3053 NW 43 TER,11/8/2019,9056.15,181.12,210-00,1,0,Single Family Detached,unit
3434,C2019121994-0,3031210330510,3185 NW 43 ST,4/8/2019,0,0,210-00,1,0,Single Family Detached,unit
3435,C2019121994-0,3031210330510,3185 NW 43 ST,4/8/2019,0,0,210-00,-1,0,Single Family Detached,unit
3420,C2019103634-0,3031210330910,4223 NW 32 AVE,3/14/2019,0,0,210-00,0,0,Single Family Detached,unit
3414,C2019101164-0,3031210341320,5114 NW 32 AVE,3/12/2019,0,175.45,210-00,1,0,Single Family Detached,unit
3439,C2019106790-0,3031210370390,3031 NW 51 TER,6/18/2019,0,0,210-00,1,0,Single Family Detached,unit
3440,C2019106790-0,3031210370390,3031 NW 51 TER,6/18/2019,0,0,210-00,-1,0,Single Family Detached,unit
3413,C2019120916-0,3031210370740,2981 NW 51 ST,4/11/2019,7535.53,150.71,210-00,1,1,Single Family Detached,unit
1933,C2020012603-0,3031220070281,2169 NW 50 ST,10/29/2019,0,0,210-00,1,0,Single Family Detached,unit
1934,C2020012603-0,3031220070281,2169 NW 50 ST,10/29/2019,0,0,210-00,-1,0,Single Family Detached,unit
1954,C2019064134-0,3031220070350,2125 NW 50 ST,1/15/2019,8772.45,175.45,210-00,1,0,Single Family Detached,unit
1945,C2019132629-0,3031220081820,4034 NW 23 AVE,5/30/2019,0,0,210-00,1,0,Single Family Detached,unit
1946,C2019132629-0,3031220081820,4034 NW 23 AVE,5/30/2019,0,0,210-00,-1,0,Single Family Detached,unit
1942,C2019085637-0,3031220180160,5323 NW 24 PLACE,3/1/2019,0,150.71,210-00,1,1,Single Family Detached,unit
1935,C2019189743-0,3031220210030,2251 NW 51 TER,7/10/2019,8772.45,175.45,210-00,1,0,Single Family Detached,unit
1936,C2019184214-0,3031220210070,5151 NW 23 AVE,6/28/2019,0,0,210-00,0,0,Single Family Detached,unit
1931,C2019212128-0,3031220210500,2291 NW 50 ST,8/19/2019,0,175.45,210-00,1,0,Single Family Detached,unit
1939,C2020040621-0,3031220230370,4223 NW 23 AVE,12/19/2019,9056.15,181.12,210-00,1,0,Single Family Detached,unit
1937,C2019236181-0,3031220260920,2124 NW 47 TER,10/2/2019,0,0,210-00,1,0,Single Family Detached,unit
1938,C2019236181-0,3031220260920,2124 NW 47 TER,10/2/2019,0,0,210-00,-1,0,Single Family Detached,unit
1932,C2019125466-0,3031220261000,2131 NW 47 ST,4/22/2019,0,175.45,210-00,1,0,Single Family Detached,unit
1029,C2019151565-0,3031220261100,2176 NW 47 ST,5/22/2019,10742.16,214.84,231-00,2,0,Duplex,unit
1031,C2019204758-0,3031220261150,2132 NW 47 ST,8/7/2019,1969.71,39.39,231-00,2,0,Duplex,unit
1949,C2019204758-0,3031220261150,2132 NW 47 ST,8/7/2019,1969.71,39.39,210-00,-1,0,Single Family Detached,unit
1028,C2020028158-0,3031220290300,4506 NW 22 CT,11/26/2019,2033.4,40.67,231-00,2,0,Duplex,unit
1948,C2020028158-0,3031220290300,4506 NW 22 CT,11/26/2019,2033.4,40.67,210-00,-1,0,Single Family Detached,unit
1030,C2019129293-0,3031220330090,4351 NW 25 AVE,4/19/2019,1969.71,39.39,231-00,2,0,Duplex,unit
1947,C2019129293-0,3031220330090,4351 NW 25 AVE,4/19/2019,1969.71,39.39,210-00,-1,0,Single Family Detached,unit
1940,C2019098141-0,3031220525300,1918 NW 53 ST,3/6/2019,0,0,210-00,1,0,Single Family Detached,unit
1941,C2019098141-0,3031220525300,1918 NW 53 ST,3/6/2019,0,0,210-00,-1,0,Single Family Detached,unit
1943,C2019163601-0,3031220525380,1996 NW 53 ST,6/6/2019,0,0,210-00,1,0,Single Family Detached,unit
1944,C2019163601-0,3031220525380,1996 NW 53 ST,6/6/2019,0,0,210-00,-1,0,Single Family Detached,unit
1027,C2019164220-0,3031220525590,1980 NW 54 ST,6/6/2019,9227.51,184.55,231-00,2,1,Duplex,unit
3762,C2019084857-0,3031280030240,2400 NW 27 AVE,6/25/2019,39455.63,789.11,932-01,32,0,High turnover Rest/Seats,seats
855,C2019084857-0,3031280030240,2400 NW 27 AVE,6/25/2019,39455.63,789.11,820-01,-546,0,"Shopping Center/General Retail [10,001 -50,000]",sq. ft.
1033,C2019160584-0,3031280112490,3067 NW 28 ST,6/4/2019,1969.71,39.39,231-00,2,0,Duplex,unit
1950,C2019160584-0,3031280112490,3067 NW 28 ST,6/4/2019,1969.71,39.39,210-00,-1,0,Single Family Detached,unit
1032,C2017134208-0,3031280113150,3146 NW 32 ST,5/23/2019,10060.98,201.22,231-00,2,0,Duplex,unit
3885,C2018140435-0,3031280220100,3621 NW 25 ST,2/26/2019,88306.24,1766.12,851-00,1871,0,Convenience market,sq. ft.
340,C2018140435-0,3031280220100,3621 NW 25 ST,2/26/2019,88306.24,1766.12,820-00,1000,0,Shopping Center/General Retail,sq. ft.
341,C2018140435-0,3031280220100,3621 NW 25 ST,2/26/2019,88306.24,1766.12,820-00,1000,0,"Shopping Center/General Retail [1-10,000]",sq. ft.
41,N2020015632-0,3031300000010,1 MIAD BLDG 831 (FEDEX),11/8/2019,656335.16,13126.7,150-00,138270,0,Warehousing,sq. ft.
3780,C2019230242-0,3031310150010,1101 NW 57 AVE,10/15/2019,0,0,310-00,218,0,Hotel,room
3839,C2019230242-0,3031310150010,1101 NW 57 AVE,10/15/2019,0,0,320-00,-213.44,0,Motel,room
832,C2018231172-0,3031310150020,1101 NW 57 AVE,10/3/2019,42.82,0.85,820-01,31367,0,"Shopping Center/General Retail [10,001 -50,000]",sq. ft.
3840,C2018231172-0,3031310150020,1101 NW 57 AVE,10/3/2019,42.82,0.85,320-00,-48.5,0,Motel,room
1319,C2019209425-0,3032060120010,675 NE 88 TER,8/19/2019,1079.16,21.59,220-00,30,0,Apartment (Rentals),unit
3842,C2019209425-0,3032060120010,675 NE 88 TER,8/19/2019,1079.16,21.59,320-00,-22,0,Motel,room
677,C2019092446-0,3039350040440,1311 NW 132 AVE,7/5/2019,34417.94,688.36,710-00,1861,0,General Office Building,sq. ft.
678,C2019092446-0,3039350040440,1311 NW 132 AVE,7/5/2019,34417.94,688.36,710-00,1861,0,"General Office Building [1-50,000]",sq. ft.
106,C2019092446-0,3039350040440,1311 NW 132 AVE,7/5/2019,34417.94,688.36,150-00,1292,0,Warehousing,sq. ft.
1209,C2019234740-0,3039360000031,1710 NW 117 PL (BLDG C2),10/3/2019,249710.79,4994.21,932-00,4556,0,High Turnover Rest.,sq. ft.
3899,C2019142958-0,3039360000031,1710 NW 117 PL C-1 (#101),6/14/2019,0,1000,933-00,2489,0,Fast Food Rest. w/o Drive-Thru,sq. ft.
1208,C2020025254-0,3039360000031,1850 NW 117 PL 311,11/22/2019,0,1000,932-00,1585,0,High Turnover Rest.,sq. ft.
378,C2019234740-0,3039360000031,1710 NW 117 PL (BLDG C2),10/3/2019,249710.79,4994.21,820-00,1094,0,Shopping Center/General Retail,sq. ft.
379,C2019234740-0,3039360000031,1710 NW 117 PL (BLDG C2),10/3/2019,249710.79,4994.21,820-00,1094,0,"Shopping Center/General Retail [1-10,000]",sq. ft.
376,C2020025254-0,3039360000031,1850 NW 117 PL 311,11/22/2019,0,1000,820-00,-1585,0,Shopping Center/General Retail,sq. ft.
377,C2020025254-0,3039360000031,1850 NW 117 PL 311,11/22/2019,0,1000,820-00,-1585,0,"Shopping Center/General Retail [1-10,000]",sq. ft.
380,C2019142958-0,3039360000031,1710 NW 117 PL C-1 (#101),6/14/2019,0,1000,820-00,-2489,0,Shopping Center/General Retail,sq. ft.
381,C2019142958-0,3039360000031,1710 NW 117 PL C-1 (#101),6/14/2019,0,1000,820-00,-2489,0,"Shopping Center/General Retail [1-10,000]",sq. ft.
107,C2019215226-0,3039360000150,1400 NW 121 AVE - BLDG B,8/28/2019,453910.89,9078.22,150-00,93322,0,Warehousing,sq. ft.
108,C2019215225-0,3039360000150,1350 NW 121 AVE - BLDG A,8/28/2019,429051.38,8581.03,150-00,88211,0,Warehousing,sq. ft.
1433,C2019141068-0,3040030014210,7980 SW 4 ST,5/6/2019,0,0,210-00,1,0,Single Family Detached,unit
1434,C2019141068-0,3040030014210,7980 SW 4 ST,5/6/2019,0,0,210-00,-1,0,Single Family Detached,unit
1223,C2019214504-0,3040080000180,10255 CORAL WAY (#B134),11/4/2019,4072.37,81.45,222-00,1,0,High-Rise Apart or Condo over 3 floors,unit
1224,C2019222651-0,3040080000180,10235 CORAL WAY (#C154),11/4/2019,4072.37,81.45,222-00,1,0,High-Rise Apart or Condo over 3 floors,unit
1225,C2019222647-0,3040080000180,10247 CORAL WAY (#D176),11/4/2019,4072.37,81.45,222-00,1,0,High-Rise Apart or Condo over 3 floors,unit
1226,C2019222644-0,3040080000180,10217 CORAL WAY # A116,11/4/2019,4072.37,81.45,222-00,1,0,High-Rise Apart or Condo over 3 floors,unit
1435,C2020033521-0,3040091050040,1590 SW 89 CT,12/9/2019,9578.07,191.56,210-00,1,0,Single Family Detached,unit
3446,C2019131038-0,3040100170240,1025 SW 82 AVE,4/22/2019,491.5,9.83,565-00,1239,0,Day Care Center,sq. ft.
1436,C2019131038-0,3040100170240,1025 SW 82 AVE,4/22/2019,491.5,9.83,210-00,-1,0,Single Family Detached,unit
877,C2019073778-0,3040110220680,1221 SW 76 CT,1/30/2019,1969.71,39.39,231-00,2,0,Duplex,unit
1562,C2019073778-0,3040110220680,1221 SW 76 CT,1/30/2019,1969.71,39.39,210-00,-1,0,Single Family Detached,unit
1568,C2019180963-0,3040120051130,6020 SW 19 ST,6/21/2019,0,0,210-00,1,0,Single Family Detached,unit
1567,C2019180963-0,3040120051130,6020 SW 19 ST,6/21/2019,0,0,210-00,-1,0,Single Family Detached,unit
1564,C2019211908-0,3040120051131,6040 SW 19 ST,8/16/2019,8772.45,175.45,210-00,1,0,Single Family Detached,unit
1565,C2019026951-0,3040120051230,5905 SW 20 ST,3/18/2019,0,0,210-00,1,0,Single Family Detached,unit
1563,C2019026951-0,3040120051230,5905 SW 20 ST,3/18/2019,0,0,210-00,-1,0,Single Family Detached,unit
1566,C2019101515-0,3040120090492,2285 SW 58 AVE,3/12/2019,0,0,210-00,0,0,Single Family Detached,unit
879,C2019159900-0,3040120110715,2213 SW 57 CT,6/4/2019,5371.08,107.42,231-00,2,0,Duplex,unit
878,C2019159900-0,3040120110715,2213 SW 57 CT,6/4/2019,5371.08,107.42,231-00,-1,0,Duplex,unit
3845,C2018150760-0,3040120110750,2000 SW 57 AVE,3/28/2019,21650.17,433.01,911-00,3011,0,Bank (Walk-in),sq. ft.
162,C2018150760-0,3040120110750,2000 SW 57 AVE,3/28/2019,21650.17,433.01,820-00,-1271,0,Shopping Center/General Retail,sq. ft.
163,C2018150760-0,3040120110750,2000 SW 57 AVE,3/28/2019,21650.17,433.01,820-00,-1271,0,"Shopping Center/General Retail [1-10,000]",sq. ft.
1583,C2019153821-0,3040130063990,3021 SW 64 AVE,5/30/2019,0,0,210-00,1,0,Single Family Detached,unit
1584,C2019153821-0,3040130063990,3021 SW 64 AVE,5/30/2019,0,0,210-00,-1,0,Single Family Detached,unit
1579,C2019062805-0,3040130064850,3110 SW 63 AVE,1/16/2019,0,0,210-00,1,0,Single Family Detached,unit
1578,C2019062805-0,3040130064850,3110 SW 63 AVE,1/16/2019,0,0,210-00,-1,0,Single Family Detached,unit
1580,C2019112531-0,3040130160790,6141 SW 26 ST,4/2/2019,4386.22,87.73,210-00,1,0,Single Family Detached,unit
1581,C2019112531-0,3040130160790,6141 SW 26 ST,4/2/2019,4386.22,87.73,210-00,-0.5,0,Single Family Detached,unit
1569,C2019112502-0,3040130160795,6137 SW 26 ST,4/2/2019,4386.22,87.73,210-00,1,0,Single Family Detached,unit
1570,C2019112502-0,3040130160795,6137 SW 26 ST,4/2/2019,4386.22,87.73,210-00,-0.5,0,Single Family Detached,unit
1571,C2018225997-0,3040130161050,5856 SW 25 ST,12/17/2019,4247.15,84.95,210-00,1,0,Single Family Detached,unit
1572,C2018225997-0,3040130161050,5856 SW 25 ST,12/17/2019,4247.15,84.95,210-00,-0.5,0,Single Family Detached,unit
1573,C2019059234-0,3040130162300,5928 SW 27 ST,1/8/2019,5877.54,117.55,210-00,1,0,Single Family Detached,unit
1575,C2019059212-0,3040130162300,5930 SW 27 ST,1/9/2019,5877.54,117.55,210-00,1,0,Single Family Detached,unit
1577,C2019059222-0,3040130162300,5920 SW 27 ST,1/9/2019,5877.54,117.55,210-00,1,0,Single Family Detached,unit
1574,C2019059234-0,3040130162300,5928 SW 27 ST,1/8/2019,5877.54,117.55,210-00,-0.33,0,Single Family Detached,unit
1576,C2019059212-0,3040130162300,5930 SW 27 ST,1/9/2019,5877.54,117.55,210-00,-0.33,0,Single Family Detached,unit
1582,C2019059222-0,3040130162300,5920 SW 27 ST,1/9/2019,5877.54,117.55,210-00,-0.33,0,Single Family Detached,unit
164,C2019062997-0,3040130182460,5827 SW 40 ST,1/16/2019,9805.59,196.11,820-00,2544,0,Shopping Center/General Retail,sq. ft.
165,C2019062997-0,3040130182460,5827 SW 40 ST,1/16/2019,9805.59,196.11,820-00,2544,0,"Shopping Center/General Retail [1-10,000]",sq. ft.
3850,C2019062997-0,3040130182460,5827 SW 40 ST,1/16/2019,9805.59,196.11,912-00,-1473,0,Bank (Drive-in),sq. ft.
1419,C2019081843-0,3040150000180,8695 SW 40 ST,2/11/2019,27965.43,559.31,853-00,2867,0,Convenience market with Gasoline,sq. ft.
1438,C2019230509-0,3040150052121,2935 SW 82 AVE,9/23/2019,0,0,210-00,1,0,Single Family Detached,unit
1437,C2019230509-0,3040150052121,2935 SW 82 AVE,9/23/2019,0,0,210-00,-1,0,Single Family Detached,unit
138,C2019115939-0,3040150260080,8303 SW 40 ST,4/2/2019,7895.51,157.91,820-00,2910,1,Shopping Center/General Retail,sq. ft.
139,C2019115939-0,3040150260080,8303 SW 40 ST,4/2/2019,7895.51,157.91,820-00,2910,1,"Shopping Center/General Retail [1-10,000]",sq. ft.
509,C2019115939-0,3040150260080,8303 SW 40 ST,4/2/2019,7895.51,157.91,710-00,-2910,1,General Office Building,sq. ft.
510,C2019115939-0,3040150260080,8303 SW 40 ST,4/2/2019,7895.51,157.91,710-00,-2910,1,"General Office Building [1-50,000]",sq. ft.
1439,C2019202534-0,3040160000060,9650 SW 37 ST,12/17/2019,6958.52,139.17,210-00,1,0,Single Family Detached,unit
1445,C2019140594-0,3040160000060,9670 SW 37 ST,5/14/2019,6958.52,139.17,210-00,1,0,Single Family Detached,unit
1447,C2019145644-0,3040160000060,9630 SW 37 ST,5/14/2019,6958.52,139.17,210-00,1,0,Single Family Detached,unit
1449,C2019145672-0,3040160000060,3751 SW 97 AVE,5/14/2019,6958.52,139.17,210-00,1,0,Single Family Detached,unit
1454,C2019145446-0,3040160000060,9670 SW 37 ST,5/15/2019,6958.52,139.17,210-00,1,0,Single Family Detached,unit
1443,C2019202534-0,3040160000060,9650 SW 37 ST,12/17/2019,6958.52,139.17,210-00,-0.25,0,Single Family Detached,unit
1446,C2019145644-0,3040160000060,9630 SW 37 ST,5/14/2019,6958.52,139.17,210-00,-0.25,0,Single Family Detached,unit
1448,C2019145672-0,3040160000060,3751 SW 97 AVE,5/14/2019,6958.52,139.17,210-00,-0.25,0,Single Family Detached,unit
1450,C2019140594-0,3040160000060,9670 SW 37 ST,5/14/2019,6958.52,139.17,210-00,-0.25,0,Single Family Detached,unit
1453,C2019145446-0,3040160000060,9670 SW 37 ST,5/15/2019,6958.52,139.17,210-00,-0.25,0,Single Family Detached,unit
1458,C2019099459-0,3040160022780,3621 SW 92 AVE,3/8/2019,9278.02,185.56,210-00,1,0,Single Family Detached,unit
874,C2019149978-0,3040160040690,9010 SW 25 ST,5/20/2019,2082.57,41.65,231-00,2,0,Duplex,unit
1455,C2019149978-0,3040160040690,9010 SW 25 ST,5/20/2019,2082.57,41.65,210-00,-1,0,Single Family Detached,unit
876,C2020037565-0,3040160071121,3826 SW 87 PL,12/16/2019,2149.91,43,231-00,2,0,Duplex,unit
875,C2019205872-0,3040160072483,3428 SW 88 PL,11/14/2019,2082.57,41.65,231-00,2,0,Duplex,unit
1459,C2019205872-0,3040160072483,3428 SW 88 PL,11/14/2019,2082.57,41.65,210-00,-1,0,Single Family Detached,unit
1442,C2019084790-0,3040160090450,9450 SW 35 ST,2/22/2019,4639.01,92.78,210-00,1,0,Single Family Detached,unit
1456,C2019084793-0,3040160090450,9460 SW 35 ST,2/22/2019,4639.01,92.78,210-00,1,0,Single Family Detached,unit
1444,C2019084790-0,3040160090450,9450 SW 35 ST,2/22/2019,4639.01,92.78,210-00,-0.5,0,Single Family Detached,unit
1457,C2019084793-0,3040160090450,9460 SW 35 ST,2/22/2019,4639.01,92.78,210-00,-0.5,0,Single Family Detached,unit
1441,C2019186862-0,3040160090500,3550 SW 94 AVE,8/2/2019,6216.27,124.33,210-00,1,0,Single Family Detached,unit
1452,C2019219952-0,3040160090500,3580 SW 94 AVE,9/4/2019,6216.27,124.33,210-00,1,0,Single Family Detached,unit
1440,C2019186862-0,3040160090500,3550 SW 94 AVE,8/2/2019,6216.27,124.33,210-00,-0.33,0,Single Family Detached,unit
1451,C2019219952-0,3040160090500,3580 SW 94 AVE,9/4/2019,6216.27,124.33,210-00,-0.33,0,Single Family Detached,unit
1460,C2018154709-0,3040170050180,10121 SW 27 TER,2/12/2019,7995.62,159.92,210-00,1,0,Single Family Detached,unit
1470,C2018154728-0,3040170050180,10141 SW 27 TER,2/11/2019,7995.62,159.92,210-00,1,0,Single Family Detached,unit
