file,year,county,url
GIS,2012,Citrus,ftp://sdrftp03.dor.state.fl.us/Map Data/00_2012/19 Citrus.zip
GIS,2012,Clay,ftp://sdrftp03.dor.state.fl.us/Map Data/00_2012/20 Clay.zip
GIS,2012,Collier,ftp://sdrftp03.dor.state.fl.us/Map Data/00_2012/21 Collier.zip
GIS,2012,Columbia,ftp://sdrftp03.dor.state.fl.us/Map Data/00_2012/22 Columbia.zip
GIS,2012,Miami-Dade,ftp://sdrftp03.dor.state.fl.us/Map Data/00_2012/23 Dade.zip
GIS,2012,Desoto,ftp://sdrftp03.dor.state.fl.us/Map Data/00_2012/24 Desoto.zip
GIS,2012,Dixie,ftp://sdrftp03.dor.state.fl.us/Map Data/00_2012/25 Dixie.zip
GIS,2012,Duval,ftp://sdrftp03.dor.state.fl.us/Map Data/00_2012/26 Duval.zip
GIS,2012,Escambia,ftp://sdrftp03.dor.state.fl.us/Map Data/00_2012/27 Escambia.zip
GIS,2012,Flagler,ftp://sdrftp03.dor.state.fl.us/Map Data/00_2012/28 Flagler.zip
GIS,2012,Franklin,ftp://sdrftp03.dor.state.fl.us/Map Data/00_2012/29 Franklin.zip
GIS,2012,Gadsden,ftp://sdrftp03.dor.state.fl.us/Map Data/00_2012/30 Gadsden.zip
GIS,2012,Gilchrist,ftp://sdrftp03.dor.state.fl.us/Map Data/00_2012/31 Gilchrist.zip
GIS,2012,Glades,ftp://sdrftp03.dor.state.fl.us/Map Data/00_2012/32 Glades.zip
GIS,2012,Gulf,ftp://sdrftp03.dor.state.fl.us/Map Data/00_2012/33 Gulf.zip
GIS,2012,Hamilton,ftp://sdrftp03.dor.state.fl.us/Map Data/00_2012/34 Hamilton.zip
GIS,2012,Hardee,ftp://sdrftp03.dor.state.fl.us/Map Data/00_2012/35 Hardee.zip
GIS,2012,Hendry,ftp://sdrftp03.dor.state.fl.us/Map Data/00_2012/36 Hendry.zip
GIS,2012,Hernando,ftp://sdrftp03.dor.state.fl.us/Map Data/00_2012/37 Hernando.zip
GIS,2012,Highlands,ftp://sdrftp03.dor.state.fl.us/Map Data/00_2012/38 Highlands.zip
GIS,2012,Hillsborough,ftp://sdrftp03.dor.state.fl.us/Map Data/00_2012/39 Hillsborough.zip
GIS,2012,Holmes,ftp://sdrftp03.dor.state.fl.us/Map Data/00_2012/40 Holmes.zip
GIS,2012,Indian River,ftp://sdrftp03.dor.state.fl.us/Map Data/00_2012/41 Indian River.zip
GIS,2012,Jackson,ftp://sdrftp03.dor.state.fl.us/Map Data/00_2012/42 Jackson.zip
GIS,2012,Jefferson,ftp://sdrftp03.dor.state.fl.us/Map Data/00_2012/43 Jefferson.zip
GIS,2012,Lafayette,ftp://sdrftp03.dor.state.fl.us/Map Data/00_2012/44 Lafayette.zip
GIS,2012,Lake,ftp://sdrftp03.dor.state.fl.us/Map Data/00_2012/45 Lake.zip
GIS,2012,Lee,ftp://sdrftp03.dor.state.fl.us/Map Data/00_2012/46 Lee.zip
GIS,2012,Leon,ftp://sdrftp03.dor.state.fl.us/Map Data/00_2012/47 Leon.zip
GIS,2012,Levy,ftp://sdrftp03.dor.state.fl.us/Map Data/00_2012/48 Levy.zip
GIS,2012,Liberty,ftp://sdrftp03.dor.state.fl.us/Map Data/00_2012/49 Liberty.zip
